                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0117,                 2.6864,                 1.3919,                0.66684,                0.56116,                0.59768,                0.38574,                 1.1051,                  2.218,                 1.5059,              0.0033135,              0.0033135,              0.0033135
                      1,                 1.0243,                 1.8864,                 1.3825,                0.63979,                0.58425,                0.61691,                0.37372,                 1.2192,                 2.3195,                 1.6595,              0.0066249,              0.0066249,              0.0066249
                      2,                 1.1316,                 1.8294,                 1.4581,                0.41091,                0.45501,                0.39873,                0.21932,                 1.5933,                   2.71,                  2.167,              0.0099143,              0.0099143,              0.0099143
                      3,                 1.1998,                 1.8287,                 1.5148,                0.56648,                0.56499,                0.53423,                 0.2699,                 1.4367,                 2.1203,                 1.8597,               0.009901,               0.009901,               0.009901
                      4,                 1.1793,                 1.6984,                 1.5089,                0.46738,                0.43693,                0.39301,                0.22766,                 1.6331,                  2.694,                 2.2395,               0.009901,               0.009901,               0.009901
                      5,                 1.1766,                 1.6271,                 1.5068,                0.67159,                0.62055,                0.66243,                0.38958,                 1.3858,                 1.6388,                 1.7982,               0.009868,               0.009868,               0.009868
                      6,                 1.1617,                 1.5408,                 1.4871,                0.75234,                0.66533,                0.74028,                0.45963,                 1.2435,                 1.5559,                 1.6889,               0.009835,               0.009835,               0.009835
                      7,                  1.143,                 1.4459,                 1.4793,                 0.7709,                0.69789,                0.73188,                0.46877,                 1.2543,                 1.5009,                 1.6943,               0.009802,               0.009802,               0.009802
                      8,                 1.1176,                 1.4069,                 1.4514,                0.74532,                0.72503,                0.75192,                0.46617,                 1.2474,                  1.311,                 1.6507,               0.009769,               0.009769,               0.009769
                      9,                 1.0866,                 1.3144,                  1.426,                0.81748,                   0.73,                 0.8054,                0.52655,                 1.1693,                 1.2851,                 1.5944,               0.009736,               0.009736,               0.009736
                     10,                 1.0596,                 1.2655,                 1.4059,                 0.7905,                0.74348,                0.79354,                0.50452,                 1.1613,                 1.1784,                 1.5706,               0.009703,               0.009703,               0.009703
                     11,                  1.057,                 1.2496,                 1.4006,                 0.7727,                0.76745,                0.81483,                0.54664,                 1.1387,                 1.1167,                 1.5492,                0.00967,                0.00967,                0.00967
                     12,                 1.0344,                 1.2292,                  1.392,                0.82945,                0.74265,                0.81125,                0.50787,                 1.3246,                 1.2905,                  1.724,               0.009637,               0.009637,               0.009637
                     13,                 1.0408,                 1.2091,                 1.3969,                 0.7973,                0.79771,                0.84157,                0.55802,                 1.1377,                 1.0697,                 1.5395,               0.009604,               0.009604,               0.009604
